Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals1	StdVVals1	MaxVVals1	MinVVals1	AverageVVals2	StdVVals2	MaxVVals2	MinVVals2	TotalEnvInteracts	LossPi1	LossPi2	LossV1	LossV2	DeltaLossPi1	DeltaLossPi2	DeltaLossV1	DeltaLossV2	Entropy1	Entropy2	KL1	KL2	ClipFrac1	ClipFrac2	StopIter1	StopIter2	Time
52	0.07837500423192978	0.07640844	0.038131382	0.1	0.0	27.619719	0.02394271	0.035370037	0.15161899	-0.08647532	0.017800258	0.03844345	0.1262811	-0.08348696	212000	1.21071935e-08	-1.8626451e-08	0.00068583444	0.00051339413	0.0019478719	-0.018578898	-0.00012842048	-0.0001378206	0.5167385	0.5468042	0.016661063	0.015577783	0.20975	0.15825	3.0	10.0	255.36476016044617
53	0.07779999822378159	0.07774647	0.036219098	0.1	0.0	27.711267	0.01889897	0.033283725	0.13021003	-0.08412774	0.023383718	0.041596506	0.13276754	-0.07087077	216000	-1.6763806e-08	-1.8626451e-08	0.00051025325	0.0004900552	0.0028912649	-0.023307238	-0.00011431696	-0.000106809624	0.51601124	0.5441141	0.016686922	0.0150006525	0.19800001	0.146	1.0	18.0	260.49695587158203
54	0.07964999973773956	0.083749995	0.030939637	0.1	0.0	28.970589	0.021636842	0.035308477	0.15275498	-0.077301726	0.020093976	0.039718997	0.143825	-0.10156886	220000	4.656613e-10	-2.6077032e-08	0.0006334517	0.00047323352	-0.002526574	-0.035314053	-0.00014898667	-0.000114652634	0.51580983	0.540856	0.01616723	0.01542894	0.2155	0.20225	6.0	31.0	265.5741159915924
55	0.0809749960899353	0.08102941	0.03396104	0.1	0.0	29.058823	0.024512272	0.036085293	0.15267688	-0.07818121	0.02000744	0.03995882	0.1489317	-0.10435909	224000	-9.313226e-09	0.0	0.0005930144	0.0006055506	-0.0038246096	-0.021179738	-0.00013389558	-0.0001718239	0.5147256	0.532005	0.016389389	0.016322967	0.149	0.162	4.0	11.0	270.4970750808716
56	0.0825750008225441	0.08377777	0.029984359	0.1	0.0	28.874075	0.020023735	0.034576446	0.15463477	-0.053249802	0.024308048	0.040852804	0.14702913	-0.10098639	228000	0.0	-5.5879354e-09	0.0004648549	0.0004993047	-0.012796905	-0.021452788	-0.00011368822	-0.00013579734	0.51391166	0.53109354	0.016428538	0.016933493	0.1375	0.16375	9.0	13.0	275.6230640411377
57	0.08419999480247498	0.08562043	0.029269982	0.1	0.0	28.759125	0.02404407	0.037678044	0.13198224	-0.06781086	0.020144183	0.039865866	0.15388396	-0.08469473	232000	-2.3283064e-08	1.8626451e-09	0.00045231727	0.0004921305	-0.037492983	-0.012243255	-8.8867804e-05	-0.00013285977	0.51271033	0.5301358	0.015064166	0.015068239	0.204	0.18875	68.0	7.0	280.7430911064148
58	0.0846249982714653	0.08503703	0.029309943	0.1	0.0	28.88889	0.023836292	0.03727247	0.1450013	-0.0635028	0.021618359	0.04117151	0.13642009	-0.07458563	236000	1.1175871e-08	-3.259629e-09	0.00074184785	0.00045787595	-0.017706867	-0.014406329	-0.00016056735	-0.00011799638	0.5069678	0.52861047	0.015466281	0.017031223	0.14725	0.15025	12.0	8.0	285.5140700340271
59	0.0857749953866005	0.08425372	0.030281685	0.1	0.0	29.238806	0.027348438	0.03794332	0.15359595	-0.07132381	0.020679561	0.0408282	0.12619278	-0.06612182	240000	-1.1175871e-08	-1.3969839e-08	0.0005470535	0.0004559853	-0.020297125	-0.013283065	-0.00016766565	-0.000117254014	0.50536656	0.52716476	0.015274108	0.016241875	0.16174999	0.17125	17.0	8.0	290.5077450275421
60	0.08470000326633453	0.082426466	0.032528188	0.1	0.0	28.735294	0.023479516	0.03646485	0.13104668	-0.064365946	0.02186034	0.040153064	0.15668997	-0.09868685	244000	-7.450581e-09	3.7252903e-09	0.0005435673	0.00042291437	-0.017273124	-0.022546113	-0.00011499389	-0.00011648184	0.5059492	0.5261299	0.015873805	0.015584034	0.15124999	0.16525	13.0	13.0	295.40608501434326
61	0.08422499895095825	0.084850736	0.030486971	0.1	0.0	29.552238	0.025172053	0.037822835	0.15525028	-0.052954134	0.017978938	0.03927759	0.13778336	-0.06536929	248000	-2.3283064e-08	-9.313226e-09	0.00042758454	0.0005924249	-0.019043768	-0.016196132	-0.000116402814	-0.00012794342	0.50599015	0.5230737	0.015401782	0.015285827	0.14050001	0.14175001	15.0	9.0	300.3961250782013
